ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,18464.58,0.67,3.58,3.31,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,172093.37,15.18,23.69,33.16,41.56
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,226031.82,30.08,29.06,30.86,41.9
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,229422.87,28.86,33.92,26.44,16.54
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,66944.37,15.31,6.58,3.52,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,33144.1,8.06,2.52,2.7,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,6979.89,1.84,0.65,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,0,0,0,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,0,0,0,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0,0,0,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,11561.32,4.4,0,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,47466.19,16,1.8,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,209549.45,49.2,22.4,6.1,24.3
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,195146.83,17.9,33.1,28,16.9
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,200885.63,11.3,33.9,40.3,19
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,55077.59,0.5,6.1,19,35.4
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,18179.24,0.6,2,6.2,4.4
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,3001.74,0,0.7,0.5,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2559,5776.89,0,0.87,1.11,10.82,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2559,98463.03,6.94,13.99,23.06,13.68
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2559,232035.63,21.07,36.33,33.47,59.03
