ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0,0,0,0,0,,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,0,0,0,0,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,521,0.3,0,0,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,25187,15.1,0.4,2.1,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,65555,31.3,13.3,2.8,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,130439,38.3,47.7,62,50
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,54081,11.9,26.6,22.3,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,21642,3,12,10.8,50
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,0,0,0,0,0,,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2559,0,0,0,0,0,,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2559,0.16,0.25,0,0,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2559,1.24,1.95,0,0,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2559,14.69,21.48,3.4,0,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2559,24.13,29.77,16.03,5.39,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2559,40.97,34.56,51.87,55.42,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2559,14.2,9.39,22.21,25.31,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2559,4.61,2.6,6.49,13.88,100
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2559,0,0,0,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,0,0,0,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,11099.58,4.29,0,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,53916.91,16.1,2.96,1.56,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,186409.69,34.98,25.72,5.68,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,156660.16,19.23,19.62,27.76,13.18
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,240437.49,20.09,39.19,36.58,28.38
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,83048.64,4.62,9.51,21.9,54.53
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,19807.16,0.69,3,5.25,3.91
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,1701.38,0,0,1.26,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0,0,0,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,9568.74,3.7,0,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,36363.98,12.8,1,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,175206.21,43.2,17.4,3.9,24.3
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,191188.18,20.9,31.7,24,6.8
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,226830.42,15.7,37.4,42,29.1
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,68028.11,2,8.9,20.7,17
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,26042.53,1.1,2.7,7.5,22.8
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,7639.83,0.6,1,1.8,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2559,0,0,0,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2559,3832.28,1.19,0,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2559,33885.68,9.61,0.95,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2559,140245.77,29.38,14.02,2.54,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2559,181397.82,25.66,25.46,15,10.82
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2559,318668.18,29.2,47.55,54.99,37.55
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2559,87402.51,4.56,9.94,25.21,51.62
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2559,10071.08,0.4,2.07,1.86,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2559,554.68,0,0,0.4,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,1871.11,1.2,0,0,0,,
