ProvinceKey,ProvinceName,ProvinceNameEng,AmphurKey,AmphurName,AmphurNameEng,RegionKey,Expr1,Region,Year,NoOfHouseHold,HouseHoldRateChange,Source
19,สระบุรี             ,Saraburi            ,1901,เมืองสระบุรี                  ,Mueang Saraburi               ,3,3,ภาคกลาง,2555,214759,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1902,แก่งคอย                       ,Kaeng Khoi                    ,3,3,ภาคกลาง,2555,34255,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1903,หนองแค                        ,Nong Khae                     ,3,3,ภาคกลาง,2555,20719,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1904,วิหารแดง                      ,Wihan Daeng                   ,3,3,ภาคกลาง,2555,21214,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1905,หนองแซง                       ,Nong Saeng                    ,3,3,ภาคกลาง,2555,5910,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1906,บ้านหมอ                       ,Ban Mo                        ,3,3,ภาคกลาง,2555,19471,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1907,ดอนพุด                        ,Don Phut                      ,3,3,ภาคกลาง,2555,30881,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1908,หนองโดน                       ,Nong Don                      ,3,3,ภาคกลาง,2555,38900,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1909,พระพุทธบาท                    ,Phra Phutthabat               ,3,3,ภาคกลาง,2555,20636,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1910,เสาไห้                        ,Sao Hai                       ,3,3,ภาคกลาง,2555,34754,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1911,มวกเหล็ก                      ,Muak Lek                      ,3,3,ภาคกลาง,2555,12082,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1912,วังม่วง                       ,Wang Muang                    ,3,3,ภาคกลาง,2555,24121,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1913,เฉลิมพระเกียรติ               ,Chaloem Phra Kiat             ,3,3,ภาคกลาง,2555,20511,0,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1901,เมืองสระบุรี                  ,Mueang Saraburi               ,3,3,ภาคกลาง,2556,38893,2.26,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1902,แก่งคอย                       ,Kaeng Khoi                    ,3,3,ภาคกลาง,2556,38511,3.19,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1903,หนองแค                        ,Nong Khae                     ,3,3,ภาคกลาง,2556,20186,3.16,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1904,วิหารแดง                      ,Wihan Daeng                   ,3,3,ภาคกลาง,2556,22158,2.61,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1905,หนองแซง                       ,Nong Saeng                    ,3,3,ภาคกลาง,2556,32932,1.89,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1906,บ้านหมอ                       ,Ban Mo                        ,3,3,ภาคกลาง,2556,9430,2.06,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1907,ดอนพุด                        ,Don Phut                      ,3,3,ภาคกลาง,2556,45805,1.59,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1908,หนองโดน                       ,Nong Don                      ,3,3,ภาคกลาง,2556,95450,1.37,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1909,พระพุทธบาท                    ,Phra Phutthabat               ,3,3,ภาคกลาง,2556,17119,2.13,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1910,เสาไห้                        ,Sao Hai                       ,3,3,ภาคกลาง,2556,10115,2.72,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1911,มวกเหล็ก                      ,Muak Lek                      ,3,3,ภาคกลาง,2556,6605,2.5,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1912,วังม่วง                       ,Wang Muang                    ,3,3,ภาคกลาง,2556,18006,3.21,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1913,เฉลิมพระเกียรติ               ,Chaloem Phra Kiat             ,3,3,ภาคกลาง,2556,7645,2.99,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1901,เมืองสระบุรี                  ,Mueang Saraburi               ,3,3,ภาคกลาง,2557,7193,3.58,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1902,แก่งคอย                       ,Kaeng Khoi                    ,3,3,ภาคกลาง,2557,12560,2.98,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1903,หนองแค                        ,Nong Khae                     ,3,3,ภาคกลาง,2557,8746,5.46,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1904,วิหารแดง                      ,Wihan Daeng                   ,3,3,ภาคกลาง,2557,6676,2.64,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1905,หนองแซง                       ,Nong Saeng                    ,3,3,ภาคกลาง,2557,6708,1.69,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1906,บ้านหมอ                       ,Ban Mo                        ,3,3,ภาคกลาง,2557,10556,2.02,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1907,ดอนพุด                        ,Don Phut                      ,3,3,ภาคกลาง,2557,2258,0.89,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1908,หนองโดน                       ,Nong Don                      ,3,3,ภาคกลาง,2557,4702,0.9,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1909,พระพุทธบาท                    ,Phra Phutthabat               ,3,3,ภาคกลาง,2557,23071,1.72,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1910,เสาไห้                        ,Sao Hai                       ,3,3,ภาคกลาง,2557,12330,2.85,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1911,มวกเหล็ก                      ,Muak Lek                      ,3,3,ภาคกลาง,2557,22989,2.52,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1912,วังม่วง                       ,Wang Muang                    ,3,3,ภาคกลาง,2557,8018,3.13,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1913,เฉลิมพระเกียรติ               ,Chaloem Phra Kiat             ,3,3,ภาคกลาง,2557,13793,3.11,กรมการปกครอง  กระทรวงมหาดไทย
19,สระบุรี             ,Saraburi            ,1901,เมืองสระบุรี                  ,Mueang Saraburi               ,3,3,ภาคกลาง,2558,48006,2.52,ที่ทำการปกครองจังหวัดสระบุรี
19,สระบุรี             ,Saraburi            ,1902,แก่งคอย                       ,Kaeng Khoi                    ,3,3,ภาคกลาง,2558,41519,3.06,ที่ทำการปกครองจังหวัดสระบุรี
