ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,3874.3,0.3,0.8,0,2.8,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,25014.5,6.6,2,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,55853.5,16.7,2.7,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,137250.6,20.8,22.7,3.7,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,149714.2,21.2,18.6,17.6,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,239427.6,20,29.9,44.5,57.8
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,113912.1,8.9,15.1,22.3,11.8
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,58519.5,4.1,6.6,11.9,27.7
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,9339.9,1.5,1.6,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,5048.28,1,0.8,0,0,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,13793.12,4.3,0.8,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,29388.9,8.5,2.4,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,111099.53,25.6,13.5,1.9,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,121655.27,21.3,17,6.9,24.3
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,252734.08,25.8,36.5,43.1,32.4
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,122512.6,9.5,16.5,28.1,13.4
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,68995.48,3.5,11,13.9,30
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,15640.74,0.5,1.5,6.1,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,1614.5,1,0,0,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,2560.3,1.6,0,0,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,9009.5,4.3,0.8,0.3,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,104665.6,46.7,12.7,2.9,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,129198,17.6,32.5,24.4,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,174305.7,18.9,35.8,53.1,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,45463,7.8,8.2,10.9,26.8
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,31230.9,1.7,7.4,6.4,73.2
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,8571.6,0.3,2.6,1.9,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0,0,0,0,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,1314.81,0.7,0,0,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,25844.29,12.3,1.3,0,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,108484.11,33.4,18.7,7.9,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,94950.55,20.5,24.4,6.6,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,167447.77,20.9,38.5,57.7,21.4
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,56199.81,7.5,12.1,19.9,20.6
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,20188.26,2.7,4.2,6.3,58.1
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,6763.42,1.9,0.8,1.8,0,,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,858.71,0.1,0,0.7,0,,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,1081.11,0.4,0,0,0
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,11557.67,3.6,0.7,0,0
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,127276.59,32.9,15.1,3,0
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,122550.44,22.4,21.4,19.2,0
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,211102.69,27.1,44,52.3,76
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,58125.18,7.2,12.4,14.4,24
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,31307.87,5.6,4.4,8.6,0
